configuration,seed,split,best_epoch,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m,team_accuracy,team_macro_f1,player_top1,player_top3,player_top5,player_mrr,core_etp_loss,joint_active_loss
t4_team,20260716,validation,14,0.7745339912280702,0.6174765582769485,1.4765704870224,15.723392486572266,0.8700657894736842,0.8660845120642291,0.0214190093708166,0.06663691804254053,0.10575635876840696,0.10056684903901866,0.030632935660450084,0.03584076451104984
t4_team,20260717,validation,16,0.7650767543859649,0.5942315082236712,1.490822672843933,16.095993041992188,0.8652686403508771,0.8625667137433344,0.036442064554514354,0.10739253309534434,0.16688978134761268,0.13160831062280892,0.03143789998272009,0.03679195824160911
t4_player,20260715,validation,19,0.7627467105263158,0.5922369643504777,1.494660496711731,18.568294525146484,0.628015350877193,0.6280119686351964,0.41960434329912244,0.6925479696564034,0.8045515394912985,0.5850932800321269,0.0322770604438949,0.2942935379973629
t4_player,20260716,validation,23,0.7598684210526315,0.5802733122800363,1.4681856632232666,18.808212280273438,0.44174890350877194,0.40762994732547386,0.4129109028707422,0.6843670980217165,0.8000892458723784,0.5794748890821011,0.03239719791893374,0.2990939282534415
t4_player,20260717,validation,23,0.7569901315789473,0.563843244487127,1.465956687927246,18.96365737915039,0.45627741228070173,0.3908577623341475,0.41796816897218503,0.699092666964153,0.8090138331102187,0.5857946894084479,0.03264512598775981,0.2931342302707204
t5_core,20260715,validation,22,0.7615131578947368,0.5741613121101466,1.4613714218139648,18.91480827331543,0.8621162280701754,0.8586532610920328,0.41975308641975306,0.6873419604343299,0.8009817045961625,0.5836646169313253,0.03205943270994906,0.3019293473477949
t5_core,20260716,validation,20,0.7602796052631579,0.580945617527395,1.5053783655166626,18.10838508605957,0.8629385964912281,0.860206361162384,0.4091923248549755,0.6947791164658634,0.8076751450245426,0.5803424102745016,0.03230069185558118,0.29937196091601725
t5_core,20260717,validation,20,0.7619243421052632,0.5899113843529005,1.4606930017471313,18.82866859436035,0.8600603070175439,0.8564759298193235,0.42362040755615055,0.7025137587386583,0.8094600624721107,0.5900111933536395,0.03220987385302259,0.29731890506911696
t5_player_adapter,20260715,validation,17,0.7597313596491229,0.5744716373357941,1.4447987079620361,18.912765502929688,0.864172149122807,0.8605428388729168,0.41157221478506617,0.6870444741930686,0.8008329614755317,0.5791924017379237,0.032197384327127224,0.3005355523343672
t5_player_adapter,20260716,validation,24,0.7578125,0.5954745582709345,1.4692623615264893,18.29728889465332,0.8649945175438597,0.8620777936930168,0.41276215975011155,0.6935891715008181,0.8058902275769746,0.581188015595322,0.032069230680925806,0.3035685231811122
