model,seed,true_event,predicted_event,count,share_of_errors,rate_given_true
original,20260717,Save attempt,Others on the ball,2,8.9126559714795e-05,0.003838771593090211
original,20260717,Save attempt,Pass,9,0.00040106951871657755,0.01727447216890595
original,20260717,Save attempt,Shot,0,0.0,0.0
original,20260717,Shot,Duel,180,0.008021390374331552,0.1468189233278956
original,20260717,Shot,Foul,14,0.0006238859180035651,0.011419249592169658
original,20260717,Shot,Free Kick,0,0.0,0.0
original,20260717,Shot,Goalkeeper leaving line,0,0.0,0.0
original,20260717,Shot,Interruption,25,0.0011140819964349377,0.020391517128874388
original,20260717,Shot,Offside,0,0.0,0.0
original,20260717,Shot,Others on the ball,59,0.002629233511586453,0.04812398042414356
original,20260717,Shot,Pass,466,0.020766488413547238,0.3800978792822186
original,20260717,Shot,Save attempt,0,0.0,0.0
rotate,20260715,Duel,Foul,107,0.005001168497312456,0.003992537313432836
rotate,20260715,Duel,Free Kick,1,4.673989249824725e-05,3.7313432835820896e-05
rotate,20260715,Duel,Goalkeeper leaving line,2,9.34797849964945e-05,7.462686567164179e-05
rotate,20260715,Duel,Interruption,209,0.009768637532133676,0.0077985074626865675
rotate,20260715,Duel,Offside,0,0.0,0.0
rotate,20260715,Duel,Others on the ball,136,0.006356625379761627,0.005074626865671642
rotate,20260715,Duel,Pass,8203,0.3834073381631222,0.3060820895522388
rotate,20260715,Duel,Save attempt,0,0.0,0.0
rotate,20260715,Duel,Shot,195,0.009114279037158215,0.007276119402985074
rotate,20260715,Foul,Duel,39,0.001822855807431643,0.032663316582914576
rotate,20260715,Foul,Free Kick,39,0.001822855807431643,0.032663316582914576
rotate,20260715,Foul,Goalkeeper leaving line,0,0.0,0.0
rotate,20260715,Foul,Interruption,0,0.0,0.0
rotate,20260715,Foul,Offside,0,0.0,0.0
rotate,20260715,Foul,Others on the ball,9,0.0004206590324842253,0.007537688442211055
rotate,20260715,Foul,Pass,570,0.026641738724000934,0.47738693467336685
rotate,20260715,Foul,Save attempt,0,0.0,0.0
rotate,20260715,Foul,Shot,6,0.0002804393549894835,0.005025125628140704
rotate,20260715,Free Kick,Duel,0,0.0,0.0
rotate,20260715,Free Kick,Foul,0,0.0,0.0
rotate,20260715,Free Kick,Goalkeeper leaving line,0,0.0,0.0
rotate,20260715,Free Kick,Interruption,0,0.0,0.0
rotate,20260715,Free Kick,Offside,0,0.0,0.0
rotate,20260715,Free Kick,Others on the ball,1,4.673989249824725e-05,0.00018031013342949875
rotate,20260715,Free Kick,Pass,9,0.0004206590324842253,0.0016227912008654887
rotate,20260715,Free Kick,Save attempt,0,0.0,0.0
rotate,20260715,Free Kick,Shot,0,0.0,0.0
rotate,20260715,Goalkeeper leaving line,Duel,18,0.0008413180649684506,0.09090909090909091
rotate,20260715,Goalkeeper leaving line,Foul,0,0.0,0.0
rotate,20260715,Goalkeeper leaving line,Free Kick,0,0.0,0.0
rotate,20260715,Goalkeeper leaving line,Interruption,28,0.001308716989950923,0.1414141414141414
rotate,20260715,Goalkeeper leaving line,Offside,0,0.0,0.0
rotate,20260715,Goalkeeper leaving line,Others on the ball,13,0.0006076186024772143,0.06565656565656566
rotate,20260715,Goalkeeper leaving line,Pass,4,0.000186959569992989,0.020202020202020204
rotate,20260715,Goalkeeper leaving line,Save attempt,1,4.673989249824725e-05,0.005050505050505051
rotate,20260715,Goalkeeper leaving line,Shot,0,0.0,0.0
rotate,20260715,Interruption,Duel,138,0.0064501051647581215,0.032160335586110464
rotate,20260715,Interruption,Foul,0,0.0,0.0
rotate,20260715,Interruption,Free Kick,127,0.005935966347277401,0.029596830575623397
rotate,20260715,Interruption,Goalkeeper leaving line,6,0.0002804393549894835,0.0013982754602656724
rotate,20260715,Interruption,Offside,0,0.0,0.0
rotate,20260715,Interruption,Others on the ball,138,0.0064501051647581215,0.032160335586110464
rotate,20260715,Interruption,Pass,928,0.04337462023837345,0.21626660452109064
rotate,20260715,Interruption,Save attempt,0,0.0,0.0
rotate,20260715,Interruption,Shot,1,4.673989249824725e-05,0.00023304591004427873
rotate,20260715,Offside,Duel,1,4.673989249824725e-05,0.003952569169960474
rotate,20260715,Offside,Foul,0,0.0,0.0
rotate,20260715,Offside,Free Kick,0,0.0,0.0
rotate,20260715,Offside,Goalkeeper leaving line,0,0.0,0.0
rotate,20260715,Offside,Interruption,7,0.00032717924748773075,0.02766798418972332
rotate,20260715,Offside,Others on the ball,45,0.0021032951624211263,0.17786561264822134
rotate,20260715,Offside,Pass,198,0.009254498714652956,0.782608695652174
rotate,20260715,Offside,Save attempt,0,0.0,0.0
rotate,20260715,Offside,Shot,2,9.34797849964945e-05,0.007905138339920948
rotate,20260715,Others on the ball,Duel,586,0.02738957700397289,0.07506084283335468
rotate,20260715,Others on the ball,Foul,33,0.0015424164524421595,0.004226975790956834
rotate,20260715,Others on the ball,Free Kick,0,0.0,0.0
rotate,20260715,Others on the ball,Goalkeeper leaving line,4,0.000186959569992989,0.0005123607019341616
rotate,20260715,Others on the ball,Interruption,153,0.00715120355223183,0.019597796848981684
rotate,20260715,Others on the ball,Offside,0,0.0,0.0
rotate,20260715,Others on the ball,Pass,4842,0.22631455947651322,0.6202126296913026
rotate,20260715,Others on the ball,Save attempt,2,9.34797849964945e-05,0.0002561803509670808
rotate,20260715,Others on the ball,Shot,85,0.003972890862351017,0.010887664916100935
rotate,20260715,Pass,Duel,2290,0.10703435382098621,0.04668229538273366
rotate,20260715,Pass,Foul,245,0.011451273662070577,0.004994394047497706
rotate,20260715,Pass,Free Kick,9,0.0004206590324842253,0.00018346753643869128
