split,mode,seed,group,value,samples,macro_f1_raw10,accuracy
validation,base_post,20260717,player_mask,True,6723,0.5525940461588514,0.7681094749367842
validation,base_post,20260717,event_true,0,2049,0.08118295158016817,0.6832601268911664
validation,base_post,20260717,event_true,1,82,0.07286821705426356,0.573170731707317
validation,base_post,20260717,event_true,2,431,0.1,1.0
validation,base_post,20260717,event_true,3,18,0.07142857142857142,0.5555555555555556
validation,base_post,20260717,event_true,4,326,0.08123861566484517,0.6840490797546013
validation,base_post,20260717,event_true,5,25,0.0,0.0
validation,base_post,20260717,event_true,6,568,0.038176638176638175,0.23591549295774647
validation,base_post,20260717,event_true,7,3657,0.09485336400230018,0.9021055509980859
validation,base_post,20260717,event_true,8,50,0.09898989898989899,0.98
validation,base_post,20260717,event_true,9,90,0.05483870967741935,0.37777777777777777
validation,base_post,20260717,control_state,1,459,0.19862700228832952,0.9738562091503268
validation,base_post,20260717,control_state,2,3527,0.23559519004025561,0.7799829883753898
validation,base_post,20260717,control_state,3,3310,0.521555255293469,0.7338368580060423
validation,base_post,20260717,event_role,1,4234,0.43505034591430614,0.7461029759093056
validation,base_post,20260717,event_role,2,422,0.4735552115583076,0.7535545023696683
validation,base_post,20260717,event_role,3,2197,0.33116240246104944,0.782430587164315
validation,base_post,20260717,event_role,4,443,0.09862700228832952,0.9729119638826185
validation,base_post,20260717,switch_confirmed,False,6355,0.6284562621625127,0.7894571203776554
validation,base_post,20260717,switch_confirmed,True,941,0.38390033927533407,0.6482465462274176
