seed,mode,anchor,age,head,pairs,samples,sample_mean_mass,pair_mean_mass,bias_mean
20260715,constant,other,age_gt20,3,3292092,57722,0.1363844312690408,0.13643410934254288,-0.21280643343925476
20260715,constant,other,age_gt20,mean,3292092,57722,0.18984444691654548,0.18982077356817603,-0.15134570933878422
20260715,constant,Pass+CONTROL,ends_at_anchor,0,38348,38348,0.5104060171136905,0.5104060171136905,-0.11479128897190094
20260715,constant,Pass+CONTROL,ends_at_anchor,1,38348,38348,0.10925561366566698,0.10925561366566698,-0.054212234914302826
20260715,constant,Pass+CONTROL,ends_at_anchor,2,38348,38348,0.2716610012664256,0.2716610012664256,-0.22357288002967834
20260715,constant,Pass+CONTROL,ends_at_anchor,3,38348,38348,0.007321621676663481,0.007321621676663481,-0.21280643343925476
20260715,constant,Pass+CONTROL,ends_at_anchor,mean,38348,38348,0.22466106343061162,0.22466106343061162,-0.15134570933878422
20260715,constant,Pass+CONTROL,age_1_5,0,191477,38364,0.2922848158330135,0.2921345033222116,-0.11479128897190094
20260715,constant,Pass+CONTROL,age_1_5,1,191477,38364,0.21604455121584354,0.21610618848205648,-0.054212234914302826
20260715,constant,Pass+CONTROL,age_1_5,2,191477,38364,0.20037104811618525,0.20037784162215863,-0.22357288002967834
20260715,constant,Pass+CONTROL,age_1_5,3,191477,38364,0.10169430475811775,0.10175017242923981,-0.21280643343925476
20260715,constant,Pass+CONTROL,age_1_5,mean,191477,38364,0.20259867998079,0.20259217646391664,-0.15134570933878422
20260715,constant,Pass+CONTROL,age_6_20,0,571171,38253,0.21130362926450533,0.21125717271122707,-0.11479128897190094
20260715,constant,Pass+CONTROL,age_6_20,1,571171,38253,0.23783699053834542,0.23793053008253148,-0.054212234914302826
20260715,constant,Pass+CONTROL,age_6_20,2,571171,38253,0.1817764720895575,0.18181293794550854,-0.22357288002967834
20260715,constant,Pass+CONTROL,age_6_20,3,571171,38253,0.13631163848667033,0.13635917506824324,-0.21280643343925476
20260715,constant,Pass+CONTROL,age_6_20,mean,571171,38253,0.19180718259476964,0.19183995395187758,-0.15134570933878422
20260715,constant,Pass+CONTROL,age_gt20,0,2157327,37915,0.19360037852138665,0.19328908896021307,-0.11479128897190094
20260715,constant,Pass+CONTROL,age_gt20,1,2157327,37915,0.23879699884891215,0.23894107950982366,-0.054212234914302826
20260715,constant,Pass+CONTROL,age_gt20,2,2157327,37915,0.16689180364482534,0.16655455943783654,-0.22357288002967834
20260715,constant,Pass+CONTROL,age_gt20,3,2157327,37915,0.13179643929612955,0.13196225534808512,-0.21280643343925476
20260715,constant,Pass+CONTROL,age_gt20,mean,2157327,37915,0.18277140507781342,0.1826867458139896,-0.15134570933878422
