view,seed,group,samples,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m
f80,20260717,switch,11820,0.6658206429780034,0.4119614261644843,1.3907618522644043,17.77187156677246
f80,20260717,boundary,5425,0.9706912442396314,0.1768031436176955,9.157330513000488,36.09917068481445
f80,20260717,long_possession,13683,0.7873273404955053,0.6206056502090055,1.626540184020996,16.181856155395508
f80,20260717,Shot,1228,0.28013029315960913,0.04376590330788804,0.748818039894104,25.232036590576172
f80,20260717,Foul,1192,0.37583892617449666,0.05463414634146342,1.1031686067581177,35.77312469482422
f80,20260717,Interruption,4022,0.7215315763301839,0.08382437897169266,3.182380437850952,46.377593994140625
p1,20260717,CONTROL,48288,0.7829895626242545,0.22631619285134402,1.0510467290878296,11.547566413879395
p1,20260717,CONTESTED,43001,0.717820515801958,0.4808382930826204,1.1084589958190918,20.10450553894043
p1,20260717,restart,5227,0.7577960589248135,0.45709517678467576,1.2401143312454224,19.22222137451172
p1,20260717,switch,11820,0.6645516074450084,0.4018691741654251,1.3904139995574951,17.948049545288086
p1,20260717,boundary,5425,0.9703225806451613,0.17039003759398497,9.078787803649902,29.93092155456543
p1,20260717,long_possession,13683,0.7909084265146532,0.5811305551174782,1.6231824159622192,15.759586334228516
p1,20260717,Shot,1228,0.3281758957654723,0.04941753525444513,0.7378897070884705,23.854328155517578
p1,20260717,Foul,1192,0.08557046979865772,0.015765069551777432,1.1752104759216309,38.15784454345703
p1,20260717,Interruption,4022,0.6596220785678767,0.07949063670411985,3.2547640800476074,46.49701690673828
p2,20260717,CONTROL,48288,0.7840664347249834,0.2357105550330139,1.0479055643081665,11.720428466796875
p2,20260717,CONTESTED,43001,0.7336806120787889,0.5151968135013292,1.084362268447876,19.92573356628418
p2,20260717,restart,5227,0.7556916013009375,0.4530676811487712,1.2480111122131348,19.2962589263916
p2,20260717,switch,11820,0.6743654822335026,0.3856690262745858,1.3659083843231201,17.822221755981445
p2,20260717,boundary,5425,0.9705069124423963,0.17523551567334095,9.200122833251953,35.67689895629883
p2,20260717,long_possession,13683,0.7936125118760505,0.6031725342805986,1.6181269884109497,16.1754207611084
p2,20260717,Shot,1228,0.33713355048859933,0.050426309378806336,0.7789769768714905,24.31144905090332
p2,20260717,Foul,1192,0.30956375838926176,0.047277386290839205,1.1910978555679321,36.93731689453125
p2,20260717,Interruption,4022,0.777473893585281,0.08748076654077494,3.0488381385803223,45.943153381347656
random_p1,20260717,CONTROL,48288,0.7824925447316103,0.23230993134229258,1.0524276494979858,11.500090599060059
random_p1,20260717,CONTESTED,43001,0.6891932745750099,0.4782929330901946,1.1501572132110596,20.985841751098633
random_p1,20260717,restart,5227,0.7556916013009375,0.45002078172477555,1.223537802696228,19.071025848388672
random_p1,20260717,switch,11820,0.6780033840947547,0.41017194451824157,1.3780009746551514,17.503671646118164
random_p1,20260717,boundary,5425,0.968479262672811,0.1539590116036397,9.32254695892334,37.37981414794922
random_p1,20260717,long_possession,13683,0.7700065775049332,0.5839902570207107,1.6582355499267578,16.733610153198242
random_p1,20260717,Shot,1228,0.25651465798045603,0.04082955281918341,0.7034639716148376,24.674375534057617
random_p1,20260717,Foul,1192,0.1568791946308725,0.0271211022480058,1.2297853231430054,36.23252487182617
random_p1,20260717,Interruption,4022,0.7222774738935853,0.08387469322939224,3.206942081451416,45.838924407958984
random_p2,20260717,CONTROL,48288,0.7817677269715043,0.23370859444054,1.0666346549987793,11.580625534057617
random_p2,20260717,CONTESTED,43001,0.6839840933931769,0.4791061507657942,1.1564708948135376,21.09968376159668
random_p2,20260717,restart,5227,0.7430648555576813,0.4666677153571636,1.2420405149459839,19.490367889404297
random_p2,20260717,switch,11820,0.677072758037225,0.4051004819615519,1.4027031660079956,17.765228271484375
random_p2,20260717,boundary,5425,0.9705069124423963,0.17800277943220172,9.258713722229004,38.008670806884766
random_p2,20260717,long_possession,13683,0.7688372432945991,0.5886172443287074,1.660248041152954,16.812023162841797
random_p2,20260717,Shot,1228,0.31026058631921827,0.0473586078309509,0.7343435883522034,24.707550048828125
random_p2,20260717,Foul,1192,0.15771812080536912,0.027246376811594204,1.283963680267334,39.45734405517578
random_p2,20260717,Interruption,4022,0.7016409746394828,0.08246639392168323,3.225043535232544,45.75028610229492
