configuration,seed,task,layer,relation,message_norm
pg_shared,20260715,shared,layer1,event__performed_by_team__team,81.44432830810547
pg_shared,20260715,shared,layer1,event__has_type__event_type,62.543853759765625
pg_shared,20260715,shared,layer1,event_type__describes__event,99.99605560302734
pg_shared,20260715,shared,layer1,event__has_tag__tag,80.11865234375
pg_shared,20260715,shared,layer1,tag__describes__event,97.51219940185547
pg_shared,20260715,shared,layer1,event__starts_in__zone,101.4266128540039
pg_shared,20260715,shared,layer1,zone__start_of__event,96.8597640991211
pg_shared,20260715,shared,layer1,event__ends_in__zone,72.3936538696289
pg_shared,20260715,shared,layer1,zone__end_of__event,122.67572784423828
pg_shared,20260715,shared,layer1,event__belongs_to__possession,67.93535614013672
pg_shared,20260715,shared,layer1,possession__contains__event,82.54472351074219
pg_shared,20260715,shared,layer1,possession__owned_by__team,0.0
pg_shared,20260715,shared,layer1,team__has_possession__possession,0.0
pg_shared,20260715,shared,layer1,possession__next__possession,0.0
pg_shared,20260715,shared,layer2,event__next__event,121.34738159179688
pg_shared,20260715,shared,layer2,event__gap_0_2s__event,80.76156616210938
pg_shared,20260715,shared,layer2,event__gap_2_5s__event,81.68399047851562
pg_shared,20260715,shared,layer2,event__gap_5_15s__event,46.1820068359375
pg_shared,20260715,shared,layer2,event__gap_15_60s__event,21.73481559753418
pg_shared,20260715,shared,layer2,event__gap_60plus__event,0.0
pg_shared,20260715,shared,layer2,event__period_break__event,0.0
pg_shared,20260715,shared,layer2,player__performs__event,106.98445892333984
pg_shared,20260715,shared,layer2,event__performed_by__player,86.4801254272461
pg_shared,20260715,shared,layer2,team__performs__event,118.05987548828125
pg_shared,20260715,shared,layer2,event__performed_by_team__team,92.62946319580078
pg_shared,20260715,shared,layer2,event__has_type__event_type,89.51390838623047
pg_shared,20260715,shared,layer2,event_type__describes__event,201.4936065673828
pg_shared,20260715,shared,layer2,event__has_tag__tag,110.07978057861328
pg_shared,20260715,shared,layer2,tag__describes__event,170.33688354492188
pg_shared,20260715,shared,layer2,event__starts_in__zone,92.22225952148438
pg_shared,20260715,shared,layer2,zone__start_of__event,210.36016845703125
pg_shared,20260715,shared,layer2,event__ends_in__zone,94.50981903076172
