configuration,seed,split,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m,position_median_m,team_accuracy,team_macro_f1,player_top1,player_top3,player_top5,player_mrr,player_coverage,core_etp_loss
ap_task,20260715,test,0.7717285811634006,0.6228706388028419,1.4870041608810425,16.224544525146484,9.733716011047363,0.8695252648316022,0.8652708619151992,0.4125652581321672,0.6840725536566864,0.7964504038195529,0.5789193448737563,0.9255580564561092,0.030634644976845437
ap_task,20260716,test,0.7720176760897847,0.620950592793026,1.4842599630355835,15.519518852233887,8.852685928344727,0.8741198091973486,0.8693553667570446,0.4180871000847798,0.6892262728124582,0.8016822096291999,0.5837896046171597,0.9255580564561092,0.03047703184769126
ap_task,20260717,test,0.7752080450988085,0.6272285835655308,1.4699534177780151,15.76865005493164,9.074939727783203,0.8671608813265327,0.861294785948026,0.4222368479764401,0.6951608585069832,0.8072152068180805,0.5880180138090811,0.9255580564561092,0.030283925254690626
pg_constant,20260715,test,0.77137753732422,0.6113223261122458,1.4926797151565552,15.761199951171875,9.207513809204102,0.8731699258678011,0.8690724788399924,0.4156329481058409,0.6847195573602249,0.7983356387488287,0.5809631128765931,0.9255580564561092,0.030680988164564032
pg_constant,20260716,test,0.7713568876866211,0.615797264525695,1.4956471920013428,15.585970878601074,9.22578239440918,0.8728188820286203,0.8680644207273912,0.4236981839275356,0.6919369952255588,0.8023626790415421,0.5872025345939879,0.9255580564561092,0.030541460885869915
pg_constant,20260717,test,0.77210027464018,0.6247459347752278,1.4877197742462158,15.429365158081055,8.521110534667969,0.8685650566832552,0.864588266336638,0.41124894025255454,0.6855004238989781,0.7990161081611709,0.5787901897689031,0.9255580564561092,0.030500835883216032
pg_shared,20260715,test,0.7716666322506041,0.618627680831399,1.4978113174438477,15.609909057617188,8.921738624572754,0.8717864001486774,0.8673326071738277,0.41363616081388604,0.6867051894159119,0.8008009459640355,0.5801264496780112,0.9255580564561092,0.03081953930188804
pg_shared,20260716,test,0.7707683730150536,0.6184941011335788,1.4873567819595337,15.289424896240234,8.60458755493164,0.8736345427137754,0.8691060574492413,0.42306233546026506,0.6887354424166704,0.799350765249208,0.5858706266946055,0.9255580564561092,0.030452599300914204
pg_shared,20260717,test,0.772482292935759,0.6258048472818803,1.4874905347824097,15.239166259765625,8.65175724029541,0.8710120387387201,0.8670835617490096,0.4198161617063049,0.6890812547409754,0.8038463254651733,0.5850398483315592,0.9255580564561092,0.030412092195886444
pg_task,20260715,test,0.7710161686662399,0.6230269288651864,1.4871134757995605,15.623198509216309,8.97848892211914,0.8707435934499349,0.8664414382751497,0.4116728392307349,0.6805921199411004,0.7945874793628129,0.5771217442873826,0.9255580564561092,0.030641710525108383
pg_task,20260716,test,0.7745679063332439,0.6249216110930002,1.4957594871520996,14.927153587341309,8.393696784973145,0.8743676048485349,0.8707828330123566,0.41662576413368435,0.6899848288786756,0.8038909464102449,0.5830011037783769,0.9255580564561092,0.030128678166047442
pg_task,20260717,test,0.7726887893117476,0.618761884895737,1.4787449836730957,15.722502708435059,9.123534202575684,0.8700518305903732,0.8655283024815237,0.4140265940832627,0.6876645397349516,0.8022734371513989,0.5810707012277571,0.9255580564561092,0.03054857798963665
