configuration,seed,task,layer,node_type,residual_norm,base_norm,norm_ratio,cosine
pg_constant,20260717,shared,layer1,event,59.36884689331055,161.73208618164062,0.36708143878533567,0.05170759558677673
pg_constant,20260717,shared,layer1,player,44.639591217041016,135.81549072265625,0.3286782014298933,-0.11220038682222366
pg_constant,20260717,shared,layer1,team,5.889765739440918,33.7855339050293,0.1743280350695944,0.04359447583556175
pg_constant,20260717,shared,layer1,event_type,14.149773597717285,54.884796142578125,0.25780862082386924,0.10127687454223633
pg_constant,20260717,shared,layer1,tag,27.48820686340332,87.76396942138672,0.3132060576182744,0.06737801432609558
pg_constant,20260717,shared,layer1,zone,40.543846130371094,102.33841705322266,0.3961742549651286,-0.002174650551751256
pg_constant,20260717,shared,layer1,possession,21.491626739501953,92.95580291748047,0.231202636790526,-0.01825462467968464
pg_constant,20260717,shared,layer2,event,45.398765563964844,157.10305786132812,0.2889744234261657,0.04777586832642555
pg_constant,20260717,shared,layer2,player,0.0,137.6367645263672,0.0,0.0
pg_constant,20260717,shared,layer2,team,0.0,31.999906539916992,0.0,0.0
pg_constant,20260717,shared,layer2,event_type,0.0,53.66547775268555,0.0,0.0
pg_constant,20260717,shared,layer2,tag,0.0,79.19576263427734,0.0,0.0
pg_constant,20260717,shared,layer2,zone,0.0,91.91277313232422,0.0,0.0
pg_constant,20260717,shared,layer2,possession,0.0,87.99976348876953,0.0,0.0
pg_shared,20260715,shared,layer1,event,45.16910171508789,159.9064178466797,0.28247210039059595,-0.000383967359084636
pg_shared,20260715,shared,layer1,player,25.551773071289062,137.9331512451172,0.18524751186088478,-0.015315759927034378
pg_shared,20260715,shared,layer1,team,7.94822359085083,32.337623596191406,0.24578873482178015,0.012920074164867401
pg_shared,20260715,shared,layer1,event_type,12.396223068237305,55.389530181884766,0.22380083433694675,0.0974181592464447
pg_shared,20260715,shared,layer1,tag,19.057649612426758,85.58038330078125,0.22268712615421044,0.010891974903643131
pg_shared,20260715,shared,layer1,zone,42.31621170043945,103.37501525878906,0.40934660657127864,0.012538781389594078
pg_shared,20260715,shared,layer1,possession,23.602664947509766,91.02278900146484,0.25930500709146503,-0.13169685006141663
pg_shared,20260715,shared,layer2,event,38.186832427978516,158.36170959472656,0.24113677811198708,0.086099773645401
pg_shared,20260715,shared,layer2,player,0.0,137.63677978515625,0.0,0.0
pg_shared,20260715,shared,layer2,team,0.0,31.99990463256836,0.0,0.0
pg_shared,20260715,shared,layer2,event_type,0.0,53.66547775268555,0.0,0.0
pg_shared,20260715,shared,layer2,tag,0.0,79.19575500488281,0.0,0.0
pg_shared,20260715,shared,layer2,zone,0.0,91.91278076171875,0.0,0.0
pg_shared,20260715,shared,layer2,possession,0.0,87.999755859375,0.0,0.0
pg_shared,20260716,shared,layer1,event,48.01274108886719,161.6793670654297,0.29696269821143606,0.02927452139556408
pg_shared,20260716,shared,layer1,player,35.42340850830078,137.46124267578125,0.2576974266983103,-0.006832610350102186
pg_shared,20260716,shared,layer1,team,7.202296257019043,33.80984878540039,0.2130236163649778,0.08001720160245895
pg_shared,20260716,shared,layer1,event_type,17.483304977416992,54.592105865478516,0.3202533534884686,0.11965174227952957
pg_shared,20260716,shared,layer1,tag,19.91921043395996,87.4188461303711,0.22785945268888216,0.018107254058122635
pg_shared,20260716,shared,layer1,zone,48.15411376953125,102.67440032958984,0.4689982470309463,0.026980550959706306
pg_shared,20260716,shared,layer1,possession,25.05005645751953,93.73194885253906,0.26725206041462735,0.05167863517999649
pg_shared,20260716,shared,layer2,event,51.88180160522461,158.29368591308594,0.32775660826870423,0.051450446248054504
pg_shared,20260716,shared,layer2,player,0.0,137.63677978515625,0.0,0.0
pg_shared,20260716,shared,layer2,team,0.0,31.999908447265625,0.0,0.0
pg_shared,20260716,shared,layer2,event_type,0.0,53.66547393798828,0.0,0.0
pg_shared,20260716,shared,layer2,tag,0.0,79.19577026367188,0.0,0.0
pg_shared,20260716,shared,layer2,zone,0.0,91.91277313232422,0.0,0.0
pg_shared,20260716,shared,layer2,possession,0.0,87.99977111816406,0.0,0.0
pg_shared,20260717,shared,layer1,event,45.398841857910156,162.04107666015625,0.28016872507656654,0.040007103234529495
pg_shared,20260717,shared,layer1,player,40.63047409057617,136.45335388183594,0.2977609046221085,-0.08074183762073517
pg_shared,20260717,shared,layer1,team,6.58567476272583,34.0155143737793,0.19360797224346452,0.006077776197344065
pg_shared,20260717,shared,layer1,event_type,13.035706520080566,54.25373458862305,0.24027298063300773,0.09718772768974304
pg_shared,20260717,shared,layer1,tag,21.048519134521484,86.79859161376953,0.24249839476868187,0.03699914366006851
pg_shared,20260717,shared,layer1,zone,39.00510025024414,102.19120788574219,0.38168743727792037,0.011018707416951656
pg_shared,20260717,shared,layer1,possession,19.046852111816406,92.99623107910156,0.20481316168195424,-0.003664181102067232
pg_shared,20260717,shared,layer2,event,47.5180778503418,157.69366455078125,0.30133155942380807,0.049545228481292725
pg_shared,20260717,shared,layer2,player,0.0,137.63677978515625,0.0,0.0
pg_shared,20260717,shared,layer2,team,0.0,31.999910354614258,0.0,0.0
pg_shared,20260717,shared,layer2,event_type,0.0,53.66547393798828,0.0,0.0
pg_shared,20260717,shared,layer2,tag,0.0,79.19576263427734,0.0,0.0
pg_shared,20260717,shared,layer2,zone,0.0,91.91276550292969,0.0,0.0
pg_shared,20260717,shared,layer2,possession,0.0,87.99976348876953,0.0,0.0
pg_task,20260715,event,layer1,event,59.217430114746094,160.26174926757812,0.36950445371636864,0.01842855103313923
pg_task,20260715,event,layer1,player,25.823684692382812,137.7512969970703,0.18746600035956126,-0.007271431852132082
pg_task,20260715,event,layer1,team,8.390957832336426,33.35469436645508,0.25156752270454735,-0.10513745248317719
pg_task,20260715,event,layer1,event_type,49.229793548583984,56.3421630859375,0.8737647057230449,-0.004715603310614824
pg_task,20260715,event,layer1,tag,22.223203659057617,84.20524597167969,0.2639170921314312,0.006238850764930248
pg_task,20260715,event,layer1,zone,42.489898681640625,102.48471069335938,0.4145974398929909,-0.005467365495860577
pg_task,20260715,event,layer1,possession,17.915233612060547,93.1656723022461,0.19229436303470582,-0.02879086509346962
pg_task,20260715,event,layer2,event,52.03044891357422,157.3766632080078,0.3306109549724317,0.12193591147661209
pg_task,20260715,event,layer2,player,0.0,137.63677978515625,0.0,0.0
pg_task,20260715,event,layer2,team,0.0,31.999910354614258,0.0,0.0
pg_task,20260715,event,layer2,event_type,0.0,53.66548156738281,0.0,0.0
pg_task,20260715,event,layer2,tag,0.0,79.19574737548828,0.0,0.0
pg_task,20260715,event,layer2,zone,0.0,91.91278076171875,0.0,0.0
pg_task,20260715,event,layer2,possession,0.0,87.99976348876953,0.0,0.0
pg_task,20260715,time,layer1,event,67.49320220947266,160.26174926757812,0.42114355120874075,0.019210079684853554
pg_task,20260715,time,layer1,player,29.366796493530273,137.7512969970703,0.21318707797106873,-0.004864274989813566
pg_task,20260715,time,layer1,team,9.931058883666992,33.35469436645508,0.2977409648716401,-0.1077696830034256
pg_task,20260715,time,layer1,event_type,56.891845703125,56.3421630859375,1.0097561504046104,-0.00020517116354312748
pg_task,20260715,time,layer1,tag,24.650028228759766,84.20524597167969,0.29273744105029015,0.00780559703707695
pg_task,20260715,time,layer1,zone,45.596134185791016,102.48471069335938,0.4449066975679668,-0.004305462818592787
pg_task,20260715,time,layer1,possession,19.915918350219727,93.1656723022461,0.21376884702349302,-0.02620064653456211
pg_task,20260715,time,layer2,event,62.71571731567383,157.3766632080078,0.39850709779493315,0.1258590966463089
pg_task,20260715,time,layer2,player,0.0,137.63677978515625,0.0,0.0
pg_task,20260715,time,layer2,team,0.0,31.999910354614258,0.0,0.0
pg_task,20260715,time,layer2,event_type,0.0,53.66548156738281,0.0,0.0
pg_task,20260715,time,layer2,tag,0.0,79.19574737548828,0.0,0.0
pg_task,20260715,time,layer2,zone,0.0,91.91278076171875,0.0,0.0
pg_task,20260715,time,layer2,possession,0.0,87.99976348876953,0.0,0.0
pg_task,20260715,position,layer1,event,9.136094093322754,160.26174926757812,0.057007327918709036,0.04854562133550644
pg_task,20260715,position,layer1,player,3.298264265060425,137.7512969970703,0.0239436167713947,-0.15462306141853333
pg_task,20260715,position,layer1,team,0.6631126999855042,33.35469436645508,0.019880640868722776,-0.30714651942253113
pg_task,20260715,position,layer1,event_type,1.0816525220870972,56.3421630859375,0.019197923239781825,-0.03678308054804802
pg_task,20260715,position,layer1,tag,2.5315170288085938,84.20524597167969,0.030063649830795645,-0.03343372046947479
pg_task,20260715,position,layer1,zone,1.7946350574493408,102.48471069335938,0.01751124675385971,-0.13585908710956573
pg_task,20260715,position,layer1,possession,2.327096700668335,93.1656723022461,0.02497804870788478,-0.20453804731369019
pg_task,20260715,position,layer2,event,9.117746353149414,157.3766632080078,0.05793582204178716,0.03958820179104805
pg_task,20260715,position,layer2,player,0.0,137.63677978515625,0.0,0.0
pg_task,20260715,position,layer2,team,0.0,31.999910354614258,0.0,0.0
pg_task,20260715,position,layer2,event_type,0.0,53.66548156738281,0.0,0.0
pg_task,20260715,position,layer2,tag,0.0,79.19574737548828,0.0,0.0
pg_task,20260715,position,layer2,zone,0.0,91.91278076171875,0.0,0.0
pg_task,20260715,position,layer2,possession,0.0,87.99976348876953,0.0,0.0
pg_task,20260716,event,layer1,event,55.931766510009766,161.67066955566406,0.3459611237074277,0.050878871232271194
pg_task,20260716,event,layer1,player,37.61494445800781,136.3164520263672,0.2759384058112963,-0.021830996498465538
pg_task,20260716,event,layer1,team,14.241528511047363,33.443695068359375,0.4258359754189088,0.008322006091475487
pg_task,20260716,event,layer1,event_type,36.76869201660156,56.283226013183594,0.6532797535093136,0.12449454516172409
pg_task,20260716,event,layer1,tag,24.41341781616211,86.07577514648438,0.2836270457584051,0.013794893398880959
pg_task,20260716,event,layer1,zone,38.61750030517578,102.85069274902344,0.37547146521813246,0.026418497785925865
