variant,seed,group,samples,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m
c1_categorical,20260716,possession_11plus_events,13683,0.7876196740480889,0.6114465564920117,1.6375700235366821,16.820035934448242
c1_categorical,20260716,pass_heavy_possession,40599,0.7727530234734846,0.5572832842654393,1.1220780611038208,12.8175630569458
d2_dynamic,20260716,CONTROL,48288,0.7841492710404241,0.24261210543122252,1.0551533699035645,12.240124702453613
d2_dynamic,20260716,CONTESTED,43001,0.7371921583218994,0.4983513684988911,1.0980719327926636,19.312637329101562
d2_dynamic,20260716,restart,5227,0.74708245647599,0.4447872004439491,1.258725643157959,19.912137985229492
d2_dynamic,20260716,switch,11820,0.682741116751269,0.4071359998822257,1.3866301774978638,17.998037338256836
d2_dynamic,20260716,boundary,5425,0.967926267281106,0.14666947409339012,9.113801002502441,37.333152770996094
d2_dynamic,20260716,possession_1_3_events,43604,0.7543344647280066,0.5723464022124277,1.3290858268737793,16.817461013793945
d2_dynamic,20260716,possession_4_10_events,39237,0.7863496189820832,0.5922717787605356,1.6752276420593262,16.83807945251465
d2_dynamic,20260716,possession_11plus_events,13683,0.797997515164803,0.6012721857424945,1.6007215976715088,16.220609664916992
d2_dynamic,20260716,pass_heavy_possession,40599,0.7812507697233922,0.5600237117273988,1.11848783493042,11.83569049835205
v3_j0,20260716,CONTROL,48288,0.6946032140490391,0.18150831028212083,1.05782949924469,11.765495300292969
v3_j0,20260716,CONTESTED,43001,0.4734075951722053,0.3597774092372391,1.1417793035507202,20.433319091796875
v3_j0,20260716,restart,5227,0.519801033097379,0.3720450164771161,1.2744123935699463,21.231908798217773
v3_j0,20260716,switch,11820,0.46125211505922165,0.28059479546989935,1.407553791999817,18.156957626342773
v3_j0,20260716,boundary,5425,0.9662672811059908,0.09828442861160588,9.152429580688477,37.06827163696289
v3_j0,20260716,possession_1_3_events,43604,0.5843959269791762,0.47167520432800103,1.3444218635559082,17.145898818969727
v3_j0,20260716,possession_4_10_events,39237,0.6348344674669317,0.5072034872197174,1.7044037580490112,17.042499542236328
v3_j0,20260716,possession_11plus_events,13683,0.6372140612438792,0.5194776156602188,1.6301608085632324,16.479808807373047
v3_j0,20260716,pass_heavy_possession,40599,0.645877977290081,0.4770727332714225,1.1286020278930664,11.547669410705566
b0,20260717,CONTROL,48288,0.7804630550033135,0.21365602331365277,1.049072504043579,13.630457878112793
b0,20260717,CONTESTED,43001,0.7092858305620799,0.48785939630199265,1.1203668117523193,20.272220611572266
b0,20260717,restart,5227,0.7442127415343409,0.44379161354855123,1.245143175125122,20.499753952026367
b0,20260717,switch,11820,0.654653130287648,0.39665416516168195,1.3958913087844849,18.926761627197266
b0,20260717,boundary,5425,0.9686635944700461,0.15124348320558084,9.338892936706543,32.72694778442383
b0,20260717,possession_1_3_events,43604,0.7371342078708375,0.5587681102592091,1.3372101783752441,17.661514282226562
b0,20260717,possession_4_10_events,39237,0.7742691846981166,0.5961604725227213,1.6954187154769897,17.748504638671875
b0,20260717,possession_11plus_events,13683,0.7866695900021925,0.5928495583286452,1.6437318325042725,17.09035301208496
b0,20260717,pass_heavy_possession,40599,0.7703884332126407,0.5434968348405457,1.128569483757019,13.207871437072754
t0_membership,20260717,CONTROL,48288,0.7818298542080848,0.21189655746819022,1.0519148111343384,13.44282054901123
t0_membership,20260717,CONTESTED,43001,0.7071696007069603,0.4997313852789135,1.1152514219284058,20.076501846313477
t0_membership,20260717,restart,5227,0.7421082839104649,0.43581792754195137,1.2642487287521362,20.164487838745117
t0_membership,20260717,switch,11820,0.6538071065989848,0.3921715280035722,1.3933321237564087,18.98130226135254
t0_membership,20260717,boundary,5425,0.9717972350230415,0.18508466129126586,9.010295867919922,29.261659622192383
t0_membership,20260717,possession_1_3_events,43604,0.7377534171176956,0.5689414871512961,1.326747179031372,17.390676498413086
t0_membership,20260717,possession_4_10_events,39237,0.7740143232153325,0.6039532225862944,1.6729075908660889,17.258968353271484
t0_membership,20260717,possession_11plus_events,13683,0.7850617554629833,0.6051200475473685,1.6204493045806885,16.638856887817383
t0_membership,20260717,pass_heavy_possession,40599,0.7690337200423656,0.5513076545135015,1.1223646402359009,13.043720245361328
t1_owner,20260717,CONTROL,48288,0.7803388005301524,0.21321216326777473,1.0608320236206055,13.440531730651855
t1_owner,20260717,CONTESTED,43001,0.7069370479756285,0.49737306248504815,1.1173408031463623,20.216753005981445
t1_owner,20260717,restart,5227,0.7403864549454754,0.44496508846336075,1.2666348218917847,20.31014060974121
t1_owner,20260717,switch,11820,0.6536379018612521,0.39493465960883667,1.398244023323059,18.908098220825195
t1_owner,20260717,boundary,5425,0.9719815668202765,0.18544955727670703,9.154417991638184,29.04525375366211
t1_owner,20260717,possession_1_3_events,43604,0.7366984680304559,0.565763714907207,1.3327902555465698,17.439533233642578
t1_owner,20260717,possession_4_10_events,39237,0.773988837067054,0.6036797255665258,1.6922742128372192,17.32431411743164
t1_owner,20260717,possession_11plus_events,13683,0.7827961704304611,0.602718785459386,1.6438685655593872,16.63814353942871
t1_owner,20260717,pass_heavy_possession,40599,0.7683686790315032,0.5552131896105881,1.131704568862915,12.997236251831055
t2_transition,20260717,CONTROL,48288,0.7801110006626906,0.213827004576517,1.066779613494873,13.289888381958008
t2_transition,20260717,CONTESTED,43001,0.7065882188786308,0.49494882841822196,1.1178058385849,20.31345558166504
t2_transition,20260717,restart,5227,0.7430648555576813,0.44970662206291845,1.2576978206634521,19.91743278503418
t2_transition,20260717,switch,11820,0.6508460236886633,0.396834155948467,1.4049429893493652,18.7973575592041
t2_transition,20260717,boundary,5425,0.9705069124423963,0.17470551378446114,9.069202423095703,29.436656951904297
t2_transition,20260717,possession_1_3_events,43604,0.7360563251077883,0.5646335353904667,1.3323286771774292,17.391176223754883
t2_transition,20260717,possession_4_10_events,39237,0.7736575171394348,0.6012915917429351,1.6885385513305664,17.364221572875977
t2_transition,20260717,possession_11plus_events,13683,0.7831615873711906,0.6017654842341859,1.640228509902954,16.60348129272461
t2_transition,20260717,pass_heavy_possession,40599,0.7674573265351363,0.5509516346157406,1.1359994411468506,12.938043594360352
c1_categorical,20260717,CONTROL,48288,0.7781850563286945,0.1736039282743645,1.0602144002914429,13.469982147216797
c1_categorical,20260717,CONTESTED,43001,0.7063091556010326,0.504339234953044,1.1137022972106934,20.13466453552246
c1_categorical,20260717,restart,5227,0.7382819973215994,0.4131299106309962,1.2532901763916016,20.167943954467773
c1_categorical,20260717,switch,11820,0.6527918781725889,0.36938469461310897,1.4001621007919312,18.621349334716797
c1_categorical,20260717,boundary,5425,0.9710599078341013,0.17744359308598012,9.208884239196777,32.61615753173828
c1_categorical,20260717,possession_1_3_events,43604,0.7357123199706449,0.5638517913939163,1.3277530670166016,17.523218154907227
c1_categorical,20260717,possession_4_10_events,39237,0.7718225144633891,0.5878429248225984,1.7013314962387085,17.578481674194336
