mode,seed,group,samples,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m
fixed_a,20260715,restart,5227,0.749186914099866,0.4434750492840413,1.2671009302139282,19.43480110168457
fixed_a,20260715,switch,11820,0.6712351945854484,0.4129951846445244,1.3586114645004272,17.701242446899414
fixed_a,20260715,boundary,5425,0.9688479262672811,0.15297723217715706,9.996045112609863,34.75802993774414
fixed_a,20260715,long_possession,13683,0.7920777607249873,0.6118440143885462,1.663983941078186,15.940296173095703
fixed_a,20260716,CONTROL,48288,0.7808772365805169,0.2308990535949514,1.0411242246627808,11.956772804260254
fixed_a,20260716,CONTESTED,43001,0.734331759726518,0.48756792799337145,1.0921438932418823,19.7470645904541
fixed_a,20260716,restart,5227,0.7426822268987947,0.44337822074297917,1.243389368057251,19.860233306884766
fixed_a,20260716,switch,11820,0.6769035532994924,0.40707482238092824,1.3714385032653809,18.67397117614746
fixed_a,20260716,boundary,5425,0.9686635944700461,0.1545530492898914,9.267278671264648,31.58525848388672
fixed_a,20260716,long_possession,13683,0.7907622597383615,0.5853351242193476,1.623708963394165,15.875815391540527
fixed_a,20260717,CONTROL,48288,0.779696819085487,0.2207119726116596,1.0537807941436768,11.96306037902832
fixed_a,20260717,CONTESTED,43001,0.7232157391688565,0.5074366688160344,1.0978524684906006,19.831289291381836
fixed_a,20260717,restart,5227,0.7465085134876602,0.46588389984498874,1.2683736085891724,18.986133575439453
fixed_a,20260717,switch,11820,0.6684433164128596,0.3950448695997236,1.373239278793335,18.022838592529297
fixed_a,20260717,boundary,5425,0.9716129032258064,0.1827991601133055,9.1193265914917,31.67476463317871
fixed_a,20260717,long_possession,13683,0.7903968427976321,0.6122387388369666,1.630355954170227,16.152864456176758
fixed_b,20260715,CONTROL,48288,0.7836936713055004,0.23161025596140608,1.0407741069793701,11.729607582092285
fixed_b,20260715,CONTESTED,43001,0.7292388549103509,0.5119155617433637,1.1078054904937744,19.331632614135742
fixed_b,20260715,restart,5227,0.7549263439831644,0.44502952575786364,1.238893747329712,18.860692977905273
fixed_b,20260715,switch,11820,0.671150592216582,0.4050290024146334,1.3824666738510132,17.216312408447266
fixed_b,20260715,boundary,5425,0.9703225806451613,0.17458879334331484,10.309650421142578,36.797569274902344
