split,method,seed,group,value,samples,mean_distance_m,median_distance_m,distance_rmse_m,x_mae_m,y_mae_m,loss
validation,PR-Refit,20260715,event_true,8,50,10.326179063555138,6.529393373375514,17.168815865398802,8.982412182167172,4.329835175275803,0.008853954263031483
validation,PR-Refit,20260715,event_true,9,90,21.412717416623718,15.005304780322357,28.207292485681695,20.007450319826603,5.318194886710908,0.019645854830741882
validation,PR-Refit,20260715,zone_true,0,185,32.057708651508214,21.178092372110477,41.28017829777218,25.878365158329945,17.083416725332672,0.05394469201564789
validation,PR-Refit,20260715,zone_true,1,303,19.234154011063367,11.363775870814365,26.559156731684332,12.8040001467608,13.29336233373129,0.027659179642796516
validation,PR-Refit,20260715,zone_true,2,329,14.673781747258953,7.947116496249038,20.996358907041774,6.750195983876574,11.932075353831868,0.021018225699663162
validation,PR-Refit,20260715,zone_true,3,324,13.834489866703763,7.4790433319936245,19.354328993030652,6.060073141836458,11.287358347740438,0.017967157065868378
validation,PR-Refit,20260715,zone_true,4,329,17.46132739652688,9.734115768718135,25.00778501291123,11.767897490174212,11.80154938556503,0.024653762578964233
validation,PR-Refit,20260715,zone_true,5,291,24.96612720193138,16.725895387827265,33.24095509604834,20.459814867408006,12.676369607243752,0.03454373776912689
validation,PR-Refit,20260715,zone_true,6,238,30.33551905768282,21.834368511369718,40.34086900100763,24.74267209715703,16.195680563471146,0.0524761937558651
validation,PR-Refit,20260715,zone_true,7,299,22.390163534302037,11.734542219007746,30.84003702816713,14.870506869286398,15.600343273659814,0.03768729791045189
validation,PR-Refit,20260715,zone_true,8,319,14.648459580504703,9.44734170899504,20.06711658595985,6.981987405019494,11.536745574710698,0.01881207525730133
validation,PR-Refit,20260715,zone_true,9,376,13.412841376045497,7.814355318991366,18.855784281330283,6.099416019117578,10.8516984914053,0.016975289210677147
validation,PR-Refit,20260715,zone_true,10,379,16.517439433144737,10.246926957619738,22.664222643190133,10.712540068695601,11.67772951108799,0.02071692794561386
validation,PR-Refit,20260715,zone_true,11,223,25.420204510250965,20.530218547841404,30.725779193764883,20.820347195984002,12.640997721575568,0.030166303738951683
validation,PR-Refit,20260715,zone_true,12,540,11.038662349007723,6.778354160042327,15.780902847256737,8.145169088823927,6.317627343038718,0.00843888521194458
validation,PR-Refit,20260715,zone_true,13,504,11.33186531895556,7.72205807152719,15.652914438918593,8.328627394512296,6.550885498878502,0.008430223912000656
validation,PR-Refit,20260715,zone_true,14,458,8.556544753745992,5.818376016979446,12.15372945804673,6.817339546897135,3.7265801850755143,0.004195057787001133
validation,PR-Refit,20260715,zone_true,15,393,9.540030259585594,6.005350640803891,13.644538171038116,8.131750670211916,3.4833848770641493,0.004872951656579971
validation,PR-Refit,20260715,zone_true,16,533,10.334085114867314,6.783889611047339,14.868226803942632,7.337168537527602,6.178438073139477,0.007617687340825796
validation,PR-Refit,20260715,zone_true,17,546,9.629641111210715,6.68595661859278,12.770398913012096,6.977997932296533,5.646661125259959,0.0057081058621406555
validation,PR-Refit,20260715,zone_true,18,485,19.500788915131114,10.65894583586681,27.13983998192496,17.489327397024663,5.635640437455521,0.01833602599799633
validation,PR-Refit,20260715,zone_true,19,242,32.12374411786536,22.595846530338015,39.8171981087179,30.88189068781443,5.833312251104796,0.03765503317117691
validation,PR-Refit,20260715,player_mask,0,573,30.56404671047273,27.542041576447975,37.38142106637397,21.40161497372139,18.14392371176633,0.04954236373305321
validation,PR-Refit,20260715,player_mask,1,6723,14.794400785426832,8.564628512173476,21.842819968886406,10.793239164292075,8.296968695103777,0.016275081783533096
validation,PR-Refit,20260716,event_true,0,2049,19.455060078381997,10.942051212099456,27.564410818854693,14.432850718541864,10.69635401797795,0.025835460051894188
