configuration,seed,task,age,relative_score,canonical_weight
ap_shared,20260716,event,42,-0.6077839732170105,0.009197068400681019
ap_shared,20260716,event,43,-0.6396965384483337,0.00890820100903511
ap_shared,20260716,event,44,-0.42955103516578674,0.01099145133048296
ap_shared,20260716,event,45,-1.3224397897720337,0.004500682931393385
ap_shared,20260716,event,46,-0.05517774820327759,0.015982449054718018
ap_shared,20260716,event,47,-0.49121665954589844,0.010334132239222527
ap_shared,20260716,event,48,0.502571702003479,0.027917133644223213
ap_shared,20260716,event,49,0.29662349820137024,0.0227210633456707
ap_shared,20260716,event,50,-2.3087334632873535,0.0016785587649792433
ap_shared,20260716,event,51,-1.6175258159637451,0.00335061177611351
ap_shared,20260716,event,52,-0.5476423501968384,0.009767168201506138
ap_shared,20260716,event,53,-2.2567667961120605,0.0017680941382423043
ap_shared,20260716,event,54,0.6115074157714844,0.03113013692200184
ap_shared,20260716,event,55,0.3541257679462433,0.02406587079167366
ap_shared,20260716,event,56,-1.4283716678619385,0.004048300441354513
ap_shared,20260716,event,57,-0.10277706384658813,0.015239516273140907
ap_shared,20260716,event,58,0.09088829159736633,0.01849604956805706
ap_shared,20260716,event,59,-1.6250728368759155,0.003325420431792736
ap_shared,20260716,event,60,-0.47123298048973083,0.010542723350226879
ap_shared,20260716,event,61,-1.229581594467163,0.004938626196235418
ap_shared,20260716,event,62,-0.7190139293670654,0.00822892040014267
ap_shared,20260716,event,63,-0.9423344135284424,0.006581971887499094
ap_shared,20260716,event,64,-1.9852827787399292,0.0023195799440145493
ap_shared,20260716,event,65,-0.12715643644332886,0.014872478321194649
ap_shared,20260716,event,66,-1.1620128154754639,0.005283854901790619
ap_shared,20260716,event,67,-0.9196029901504517,0.006733303889632225
ap_shared,20260716,event,68,-1.2430779933929443,0.004872420337051153
ap_shared,20260716,event,69,-0.24580933153629303,0.013208487071096897
ap_shared,20260716,event,70,-0.4606667459011078,0.010654710233211517
